id,name,document,date_of_birth,phone_number,account_number,balance
555,Leandro Dias,250.781.934-05,09/05/1977,+55 44 9 0294 3018,2285228576425929,83648
556,Lívia da Rosa,893.241.075-50,08/09/1971,+55 (96) 91090-7694,5545573044289277,27188
557,Isabelly da Rosa,659.182.740-49,28/01/2000,+55 (66) 9 2166 5519,2259420285521997,1199
558,Brenda Rezende,469.312.087-13,05/09/1970,+55 (096) 96820 7331,2299374493882596,53710
559,Lorena Azevedo,384.965.217-37,31/03/1982,+55 (097) 96756-6731,2269533718993159,81508
560,Leandro das Neves,924.780.536-83,26/06/1982,+55 (09) 96735-9002,2292721990525531,26249
561,Arthur Lopes,985.721.403-79,18/12/1974,+55 (044) 93586-8858,2272402267654882,70245
562,Catarina Pereira,329.705.816-12,05/10/1966,+55 95 90303-1965,2532709119990017,97796
563,João Fogaça,861.927.450-30,08/10/1989,+55 (28) 9 9486-3245,2634415958034662,71285
564,Sra. Maria Cecília Azevedo,701.936.452-70,05/10/1969,+55 (055) 94449-2634,2232650571229234,50313
565,Sr. Alexandre da Mata,091.342.586-98,02/08/1976,+55 (83) 94351 4380,2241392253183657,41826
566,Raul Lopes,395.768.140-57,25/12/1968,+55 (85) 95602 9651,5200746829982987,3520
567,Luiza da Rosa,286.957.341-37,11/04/1984,+55 (041) 90095-0551,2267435530428780,53811
568,Bernardo Porto,456.287.931-91,15/12/1996,+55 11 93362-0909,2256736046936817,50888
569,Lucas Gabriel da Rosa,931.672.048-69,28/03/1999,+55 69 9 2650 1028,2713267814446414,96135
570,Yasmin da Conceição,081.697.435-75,17/06/1978,+55 (29) 97078-3847,5491736719947693,55624
571,Dra. Eloah Freitas,457.160.983-39,04/02/1967,+55 (12) 9 9035 6040,5214970312647535,78075
572,Fernanda Nunes,137.905.426-52,06/01/1975,+55 37 91321-3247,2545846413873476,8061
573,Mariana Azevedo,796.812.354-28,25/07/1986,+55 20 9 6493 6333,2569940033149242,83724
574,Emanuella Cunha,925.781.643-55,15/11/1985,+55 44 98815-9092,2258809460920134,30711
575,Renan Costa,392.784.651-19,13/01/1999,+55 (052) 95924 7719,5436221837993380,39460
576,Marcelo Costela,584.023.671-35,30/05/2003,+55 (056) 99095-2467,2225845782541364,50048
577,Juan Souza,538.742.190-97,01/12/1996,+55 (45) 9 2993-4313,2271942762117316,71846
578,Luiz Henrique Aragão,941.805.326-89,29/03/1975,+55 (22) 94331 2204,2704202133854585,78045
579,Maria Sophia Jesus,891.073.265-21,04/12/2004,+55 42 9 2082-1803,2274932373461952,59443
580,Julia Moura,209.561.478-01,07/02/1964,+55 23 94025-5704,2296786646903966,71463
581,Bernardo Silva,910.753.864-20,23/08/1971,+55 (06) 9 6649 6676,5388729374160187,32225
582,Sra. Laís Porto,524.783.601-44,10/03/1979,+55 (30) 96077-5907,2248195883165157,12556
583,Heloísa Pinto,674.098.325-92,29/12/1957,+55 (54) 9 2995-1274,2275392410739473,72612
584,Sr. Lucas da Luz,069.342.781-78,22/10/1964,+55 (006) 93450 8328,2221315629740458,72906
585,Ana Moura,361.908.524-24,02/06/1991,+55 (086) 92566 5372,2240248235589448,65465
586,Davi Lucas Souza,813.569.072-02,27/01/1990,+55 (40) 9 7487 6369,2720112940535253,99459
587,Yasmin Campos,482.639.501-98,03/02/1985,+55 33 9 9846-2208,5521103337515325,70393
588,Dra. Laura Oliveira,307.259.816-95,04/02/1988,+55 (020) 92727 6817,2474941788268116,59223
589,Vicente Moraes,859.071.643-01,17/01/1983,+55 (067) 94343 7421,5197311248024203,63113
590,Alana Araújo,067.482.513-62,12/01/1983,+55 (019) 92751 4678,2705856729196252,47676
591,Guilherme Moreira,328.490.617-78,24/12/1988,+55 (91) 9 3142-7277,5455068298292364,60600
592,Theo Fernandes,238.047.915-14,07/05/1967,+55 89 9 1643-0666,5483707090192142,57356
593,Luiz Otávio Jesus,186.049.235-51,12/08/2001,+55 (043) 96426 3094,2233772993874998,99024
594,Enzo Dias,796.125.304-16,03/01/1965,+55 14 9 7984-5151,2718525566701384,89152
595,Ana Lívia Silva,827.063.514-62,18/01/2003,+55 (051) 98318-0475,5144543688770499,24625
596,Emilly Sales,582.439.706-65,25/07/1978,+55 (056) 94448 0004,5322255588659391,85921
597,Yasmin Lima,193.028.746-13,30/05/1993,+55 24 9 0296-4351,2703000167877709,34114
598,Sabrina Porto,763.459.821-64,20/04/1971,+55 (91) 9 5804 6239,2257696488758997,95016
599,Vitor Mendes,107.896.352-59,16/08/1965,+55 (09) 9 9564 8281,2222886579273046,31360
600,Antônio Santos,513.049.782-14,13/06/1974,+55 65 92375 7639,2243791318351704,73116
601,Sr. Theo Costela,361.792.854-46,09/08/1994,+55 (83) 9 3357 6121,5408051863961298,9635
602,Lorena da Luz,418.750.932-14,04/04/1980,+55 48 9 6740-1760,2274275941445705,68111
603,Natália da Rocha,260.391.784-69,10/08/1979,+55 (095) 94765 4791,2720006916852322,21180
604,Bernardo Moreira,923.875.160-95,06/11/1977,+55 (31) 9 4752-1472,2713878617270718,24269
605,Sarah Cunha,219.036.754-99,29/10/1975,+55 62 9 3572-3978,5368035663647528,77684
606,Matheus Melo,548.260.173-08,29/01/1969,+55 01 96145 5585,2710543220868687,81150
607,Maitê Costela,271.805.649-58,04/02/1983,+55 (86) 9 7880-9213,2236483266962539,25479
608,Dr. Levi Pires,453.782.106-07,03/01/1998,+55 07 91736 1567,5368061572831987,97541
609,João Felipe da Mota,027.931.564-34,03/09/1963,+55 (029) 95789 9796,2578232509265259,31594
610,Danilo Campos,895.376.201-40,21/11/1974,+55 (88) 99964-0869,2397395102137628,14958
611,Maria Clara Alves,037.194.582-88,01/08/2004,+55 35 92570 4942,2233298307564513,4493
612,Natália Viana,327.540.618-35,16/05/1970,+55 87 9 2672-6734,5458286534820080,61463
613,Sr. Yuri Costela,150.827.369-30,31/07/1984,+55 08 95004 0182,2237366087891368,20496
614,Emanuelly Mendes,389.264.571-09,16/04/1983,+55 42 98198-9165,2256976505745966,3086
615,Dr. Luiz Miguel da Cunha,519.678.230-30,09/09/1979,+55 (34) 9 1814 6069,2520463796034038,70402
616,Alícia Barbosa,873.264.509-00,13/05/2005,+55 98 99518 6879,5148320713695769,8786
617,Ana Lívia Moura,153.460.792-70,25/06/1985,+55 (059) 93867 6732,2306598235146149,7516
618,Vinicius da Paz,607.932.845-38,31/05/1984,+55 (27) 9 7434 9033,2548370720361577,70607
619,Manuela Melo,948.312.065-98,09/07/1997,+55 (57) 9 9992-5684,2668644429105558,82522
620,Luiz Gustavo Sales,327.801.546-08,24/11/1960,+55 (041) 96294-8159,2511865287085595,48657
621,Diego Almeida,095.241.736-70,12/04/1992,+55 90 98749-6707,5188782164612299,73688
622,Fernando Souza,241.986.537-55,06/03/1991,+55 98 9 4110-8842,2258255927128392,38358
623,Calebe Souza,695.831.724-64,09/10/2005,+55 93 99054 5790,2701268356495607,78711
624,Maria Eduarda Gomes,739.102.548-88,08/04/2002,+55 (52) 9 1006-5856,2225995564199426,55572
625,Dra. Cecília da Rocha,584.369.102-06,14/07/1982,+55 (56) 97696-5098,2230422069793309,80721
626,Dr. Matheus Gonçalves,105.849.723-50,26/05/2001,+55 (81) 90618 5324,5150110833499274,63587
627,Renan Peixoto,936.742.150-80,11/07/1993,+55 (37) 9 9748 1428,2720429074901782,25846
628,Natália Alves,265.073.849-92,09/10/1986,+55 22 99601-8002,5307640992028185,89678
629,Emilly Nogueira,401.879.326-03,07/10/1969,+55 (43) 9 5985-9067,5232785399448963,75552
630,Dr. Matheus Silva,518.479.263-55,23/01/1998,+55 (74) 9 0771-2972,2299471326710059,79639
631,Dr. Benício da Rosa,973.462.518-73,31/07/2005,+55 75 99104 7067,2240936043467431,87831
632,Lucas Souza,381.520.746-08,03/12/1980,+55 (020) 97453 6933,5415590730838263,28336
633,Bruna Caldeira,834.570.296-10,23/05/1994,+55 59 9 3988-4347,2254902079168627,97251
634,Nathan Araújo,617.824.053-80,26/05/1997,+55 (046) 98829-9599,2708834151572370,22460
635,Juliana Nogueira,931.528.064-42,26/10/1968,+55 34 98851-7415,5119606476279907,72598
636,Brenda Cunha,621.357.048-90,15/12/1971,+55 (87) 9 0058 1910,5524341453711313,65819
637,Sr. Guilherme Nogueira,018.729.345-79,22/05/1989,+55 54 9 0531 6652,5469309140155241,23885
638,Nicolas Nunes,578.932.014-79,05/08/1960,+55 (061) 98017-5854,2706864693771398,37717
639,Alexia Pereira,549.671.832-55,24/11/1993,+55 (004) 99068 6504,2287481270317805,70974
640,Mariane das Neves,958.431.276-64,07/05/1985,+55 55 94822 3320,2720343471158690,95504
641,Rodrigo Fogaça,084.791.352-04,06/11/1986,+55 (97) 91840-7443,2696976928311840,50277
642,Dr. Thales Jesus,867.150.923-03,28/01/2003,+55 (07) 90558 9207,5463876287410775,32810
643,Rafaela Peixoto,492.130.678-87,13/09/2001,+55 82 97540 8722,2511849664319934,77806
644,Luiz Felipe Aragão,291.438.506-42,24/11/1991,+55 (06) 9 3221 8205,2234160651576916,32219
645,Giovanna Carvalho,594.236.018-98,12/04/1989,+55 (96) 9 8579-4293,2706327634522205,65361
646,Luiz Fernando Campos,853.471.962-46,06/08/1959,+55 34 99381-8684,5438512261986728,89167
647,Davi Caldeira,637.025.948-92,27/08/1994,+55 35 9 4279 0122,2290992772743798,40269
648,Pedro Miguel da Luz,360.421.857-80,05/04/1970,+55 12 9 2429-5834,2707494586159631,33657
649,Sophia da Costa,187.462.035-08,10/04/2003,+55 (91) 93528 1954,2275021700495120,89543
650,Juan Rocha,230.819.546-06,30/05/1970,+55 (28) 92109 4394,2255565944896562,4497
651,Davi Lucca Cardoso,014.862.935-06,20/12/2002,+55 93 9 2949 5454,2240480149138497,81804
652,Diego Melo,754.283.901-23,22/03/1982,+55 (019) 95041 2734,2240743168587260,58476
653,Stella Costa,462.389.510-60,25/02/1964,+55 (71) 9 7297 9095,2605229201854247,88340
654,Pietro Barbosa,257.890.431-60,30/12/1987,+55 (06) 9 3540 7223,2425175265373186,45758
655,Vitor das Neves,178.695.230-03,01/06/1987,+55 (093) 94405 8320,5529048568565378,26317
656,Dr. Danilo Barros,572.091.368-86,10/01/1976,+55 (051) 91198-4721,2269089291041510,40454
657,Brenda Moraes,936.840.527-10,01/10/1960,+55 (064) 97262 4362,5265260711359660,85238
658,Otávio da Cunha,276.805.913-77,01/09/1974,+55 49 9 0455-3915,2385321317727353,63931
659,Bianca Teixeira,874.039.512-04,15/08/1961,+55 (086) 97228 9902,2710715135217966,57599
660,Thales Teixeira,528.340.619-98,10/10/1974,+55 (067) 94241 6076,2246482064245962,27704
661,Laís Monteiro,875.126.309-21,10/02/1971,+55 (24) 9 2638-2965,5434194833003649,34979
662,Carolina Ferreira,926.578.143-28,06/06/1996,+55 (85) 9 6363 9274,2683534357959962,85914
663,Francisco Melo,781.324.659-46,28/10/1974,+55 (099) 99749 1054,2298373368476386,27345
664,Srta. Lara Duarte,409.362.871-87,09/02/1984,+55 (59) 97573-2908,2564411394458049,97539
665,Yuri Barros,856.137.490-00,16/07/2003,+55 27 9 0676 5051,2293944770704923,22563
666,Sra. Gabriela das Neves,420.735.189-23,24/11/1993,+55 (20) 99790-5158,2230995418339056,24539
667,Gustavo Henrique Cardoso,451.906.872-01,14/11/1982,+55 (073) 94836 7892,2519668986134140,3468
668,Theo Duarte,348.761.925-37,15/10/1986,+55 93 97323 4674,2424960592216013,90496
669,Dr. Leonardo da Luz,932.850.614-05,10/07/1974,+55 03 93109 0340,2261628729345205,37722
670,Igor Nunes,853.614.907-84,10/02/1978,+55 (23) 96387 9560,2714481179720334,50239
671,Pedro Miguel Freitas,543.097.862-00,27/05/1958,+55 (31) 9 5167-9435,2271877512837559,82703
672,Srta. Gabrielly Nascimento,213.478.960-31,27/11/1980,+55 (29) 9 5981-0278,2287289393935449,66556
673,Sr. Alexandre Pires,308.615.749-66,12/10/1969,+55 (000) 96219-8712,5559739792124494,21853
674,Isabel Vieira,123.694.570-07,10/02/1977,+55 63 91751 8976,2440533754044729,53305
675,Thiago Azevedo,137.904.852-41,19/03/1977,+55 (83) 9 9394-8044,2283116571087855,10673
676,Brenda da Mata,367.401.852-71,23/08/1959,+55 (058) 98343 6282,5507475127781277,57708
677,Kevin Vieira,921.570.863-40,23/10/1959,+55 64 9 7602-5815,2265792355847409,21359
678,Vicente Silva,751.839.240-23,19/09/1984,+55 (051) 97514 9327,5256639157384947,26283
679,Alícia da Cruz,549.327.160-52,08/03/1991,+55 (00) 9 9006-9302,2255677389199533,69050
680,Murilo Viana,132.896.047-13,08/11/1978,+55 03 95802-4920,5465804205843982,12471
681,Gabrielly Cavalcanti,541.730.692-43,17/12/1985,+55 11 96807 9230,5429699232506411,44567
682,Gabrielly Novaes,568.921.403-51,23/03/1999,+55 46 9 1905 6950,5479324816573344,72311
683,Ana Clara Costela,180.695.274-20,19/02/1982,+55 86 98697-2931,2289006717468461,56358
684,Lorena Lima,092.637.154-16,06/07/1993,+55 (76) 9 3622 2187,2279260645874090,21250
685,Eloah Pires,701.493.286-13,11/04/1985,+55 82 9 9619 9267,5492901328526846,79719
686,Guilherme Correia,481.065.732-90,30/04/1984,+55 92 9 6438-0937,2701389791830446,65836
687,Alice da Costa,064.729.835-00,30/11/1991,+55 (087) 95463 8237,2293891083998611,43620
688,Srta. Bianca Barros,391.208.547-14,23/08/1971,+55 (82) 9 0050-6278,2284355257652645,81122
689,Nina Farias,786.092.534-65,21/11/2000,+55 (58) 96976 9959,2594610472943293,80465
690,Isis da Luz,217.589.630-77,06/02/1987,+55 91 96140 8012,2232203099163277,7684
691,Davi Lucca Alves,468.310.975-10,11/06/1970,+55 81 9 7226 9178,2720925702319941,88289
692,Vitor Gabriel da Mota,402.791.658-11,11/08/2003,+55 (012) 99758 1399,2256080948529390,43800
693,Guilherme da Costa,301.489.765-57,09/10/1962,+55 80 94550-8218,2521545387071475,2355
694,Calebe Silva,684.102.573-35,28/11/1966,+55 77 92643-0642,2231850128023368,29058
695,Dr. Benjamin Oliveira,593.274.180-50,15/11/1977,+55 (058) 97032 1854,2224170814929789,19632
696,Laura Oliveira,098.451.637-93,06/11/1977,+55 (69) 95021 3995,5170318757221485,60910
697,Enzo Novaes,824.035.976-00,08/08/1964,+55 (42) 98391 1003,5433290994184359,68486
698,Bárbara Gomes,216.809.354-70,01/07/1982,+55 81 9 0985 5941,5508567273623938,98208
699,Miguel Moraes,380.579.214-04,22/10/1990,+55 (093) 97391 4062,2416625545687491,8795
700,Bryan Viana,284.510.376-07,03/01/1985,+55 (046) 96155-6458,5304278603726575,84127
701,Benício Melo,241.076.358-80,30/05/1968,+55 (33) 96048 7443,2221246874554304,33040
702,Igor Castro,625.903.187-40,25/06/2003,+55 91 9 5259-9819,2265189168817226,72668
703,Isabelly Carvalho,253.804.179-14,07/08/1972,+55 (051) 94532-4140,2266938385519851,29456
704,Miguel Souza,934.182.605-51,20/03/1959,+55 92 91240-4835,2282851950538695,13284
705,Alícia Castro,378.529.064-00,13/03/1992,+55 (10) 97665 8252,5207293094772341,24706
706,Ana Sophia Silveira,753.012.964-34,23/02/1963,+55 (43) 9 6486 3947,2247158193223059,30289
707,Fernanda da Luz,718.953.240-41,02/02/1999,+55 (043) 93696 4637,5495739507198947,44905
708,Emanuelly Castro,086.725.493-92,04/01/1990,+55 03 94490-4001,5421608470546573,56343
709,Cauê Araújo,259.387.041-97,05/11/1990,+55 15 9 7130-0207,2692128044152096,89215
710,Leandro Barbosa,947.306.851-48,16/04/1992,+55 07 96874 9594,2678263126066217,96169
711,Ana Laura Correia,319.527.068-40,28/05/1973,+55 (15) 96532-2899,2365227585480399,28638
712,Agatha da Mata,691.380.425-33,09/05/1986,+55 25 97299-4718,2281529326041534,83207
713,Marcelo Ramos,820.475.136-26,30/03/1968,+55 (001) 90350 3772,2295449502391567,91008
714,Srta. Esther Cunha,293.460.857-38,21/11/1987,+55 (044) 96512-3023,5503995985311028,57203
715,Luiz Otávio Castro,167.945.038-75,05/07/1973,+55 (93) 9 2607-3174,2645652996208182,88960
716,Isabella Rezende,408.167.359-48,01/01/1962,+55 (01) 9 8225-8446,2268955255154070,50407
717,Manuela Lopes,472.561.083-62,11/09/1960,+55 85 90351-5798,2288977543197410,62498
718,Luiz Fernando Cardoso,067.123.845-08,30/12/1960,+55 80 9 9299 4275,5136977198312550,49836
719,Sophie Sales,651.934.078-20,12/05/1965,+55 95 9 1493 3561,5384828893838903,8629
720,Alexandre Cavalcanti,482.506.937-10,07/05/1999,+55 (064) 92054-5664,2256168834123095,36877
721,Emanuella Fernandes,684.507.213-26,12/06/1970,+55 (14) 9 1396-1750,5500466680378111,76263
722,Stephany Nogueira,481.967.025-58,16/12/1971,+55 (79) 9 9295-6326,2711945353833678,17239
723,Lorena Fernandes,385.901.726-86,18/07/1976,+55 (74) 91248-8189,2583536825870276,65166
724,Lavínia da Paz,083.972.154-41,17/10/1966,+55 (73) 93677-3073,2293210765817512,1109
725,Ana Clara da Luz,681.503.729-03,18/11/2001,+55 73 9 2750 6797,2231399552859947,38573
726,Yago Cunha,970.854.261-01,01/04/2002,+55 (95) 9 5066 4110,5180262077635693,96178
727,Isabella Caldeira,206.791.834-69,29/10/1958,+55 (34) 9 0976-1087,2259073535366299,69757
728,Ana Lívia Oliveira,918.750.632-77,19/11/1974,+55 (56) 9 0504 5052,2466183487207521,31215
729,Dra. Bárbara Novaes,157.962.083-30,17/08/1968,+55 (031) 99939 3048,2720266589775008,12766
730,Maria Vitória Rezende,076.913.854-39,27/05/1992,+55 (055) 95858 1978,2720587085773803,84676
731,Enzo Ribeiro,853.914.726-28,11/01/1974,+55 (016) 93627 2152,5119957227505631,38758
732,Maria da Cunha,249.657.013-99,24/12/1971,+55 87 9 8448-8609,5285697099140533,79001
733,Diogo Rodrigues,974.612.850-76,20/03/1981,+55 71 9 7055 5737,2221709512814661,13581
734,Eloah Barros,685.723.401-90,22/09/1990,+55 90 93185-3565,5198704549713855,89042
735,Lívia Silva,217.506.839-03,25/06/1998,+55 (90) 9 7198-5364,5102557259035272,93146
736,Ana Clara da Rosa,071.623.954-06,24/07/1979,+55 (55) 9 7378-8350,2714602013686312,86358
737,Enrico Araújo,280.195.364-42,26/04/1961,+55 31 9 8754-7446,2253711776068357,10568
738,Gustavo Santos,628.049.713-50,05/08/1987,+55 73 98271 7052,5339605768654680,60336
739,Ana Sophia Moraes,091.572.834-60,21/11/1959,+55 (008) 97888 0381,5283393053365959,11738
740,Sr. Pedro Martins,250.368.719-95,25/09/1989,+55 (23) 93139 4081,5481572945484421,67975
741,Samuel da Mota,924.186.705-11,27/12/1969,+55 22 94428-4062,2248827498287402,54883
742,Dr. Benício Pereira,956.207.831-03,25/03/2003,+55 (21) 9 9269 1522,2244880117762432,10677
743,Rodrigo Oliveira,972.860.413-04,14/12/1960,+55 67 99008 3257,2272627107392828,56166
744,Clarice das Neves,572.390.618-68,11/01/1999,+55 (02) 9 0656-4662,2296926667388271,37604
745,Alice da Costa,492.165.830-70,22/07/1960,+55 (59) 9 1422 1967,2720012777652306,10407
746,Beatriz Correia,582.409.137-41,30/10/1988,+55 05 9 3175 8890,5527240221468940,24043
747,Esther Silva,673.215.098-77,27/08/1958,+55 (73) 9 2601 3931,2675978541374895,14085
748,Isabelly Mendes,631.240.598-24,25/04/2004,+55 (73) 9 5625-2284,2291445100648154,11011
749,João Guilherme Aragão,053.921.867-77,07/07/1982,+55 35 9 1968 2045,5309129576029379,95841
750,Sr. Lorenzo Novaes,673.415.890-00,28/12/1972,+55 45 91848 2900,5304372260874180,69126
751,Sr. Carlos Eduardo Alves,463.120.597-07,04/03/1971,+55 (75) 96877 6548,2239768544538524,94622
752,Vitor Hugo Novaes,564.102.378-71,25/10/1983,+55 (96) 96003 6454,2263654664586742,22623
753,Noah da Paz,471.385.926-55,06/11/1978,+55 66 95952-0899,5244444703090493,32264
754,Miguel Ramos,361.294.807-50,10/05/1974,+55 (78) 91556-9333,2274853167398665,58237
755,Cecília Monteiro,016.397.245-16,21/06/1976,+55 28 9 7773 6018,2223804299837155,64098
756,Guilherme Pereira,579.123.486-46,08/05/1970,+55 21 92761-2026,2232806044938534,59824
757,Maitê Nogueira,176.084.329-69,06/04/1989,+55 (021) 96364 8472,2325217061447433,9968
758,Vitória da Luz,752.104.983-79,18/11/2003,+55 49 90052 5000,5477762289773440,93835
759,Nina Teixeira,380.476.192-50,21/08/1981,+55 (15) 95596-2511,2270477938145280,85378
760,Thiago Aragão,463.580.197-75,29/07/1968,+55 (056) 98273-2109,2714677802966844,62597
761,Dra. Maria Vitória Cardoso,571.308.924-04,07/09/1965,+55 (82) 9 0081-3363,2460131019066804,24073
762,Yago Jesus,871.329.654-09,27/05/1968,+55 (89) 90214 5426,2292440850815300,23929
763,Ana Sophia Costa,234.765.918-91,25/03/1974,+55 (14) 95450 0895,2247744157053002,97531
764,Dr. João Gabriel Martins,452.679.108-30,08/02/1992,+55 51 96827-4125,2276470165727304,37984
765,Emilly Moreira,054.683.719-01,28/01/1990,+55 88 9 7902-6078,2397337673553163,41338
766,Rafael Farias,263.419.087-50,09/07/1978,+55 (76) 98043 1526,5242623948398868,48979
767,Kevin Gonçalves,812.340.597-97,28/12/2004,+55 09 94040 6612,2234719227179917,64828
768,Isabel Duarte,982.743.651-19,16/11/1999,+55 36 9 5525-7152,2704062263173689,51129
769,Nina Rezende,507.941.328-04,19/06/1970,+55 48 90729-3941,2713584196062159,33439
770,Ana Carolina Teixeira,467.203.589-10,09/09/1971,+55 (94) 96424 7776,2702055670889550,33030
771,Agatha Castro,421.387.695-00,07/07/1994,+55 (033) 92010-9709,2514137096473629,38534
772,Maria Alice da Mota,721.085.936-59,10/12/2005,+55 (44) 96566-2736,2276217657170679,92704
773,Sr. Theo Carvalho,107.295.463-06,08/05/1989,+55 (40) 9 1762 7011,5308651031164948,34301
774,Lucas da Cunha,685.179.302-40,16/09/1996,+55 (094) 91642 3728,5406005953357926,16805
775,Yuri Freitas,498.136.725-28,20/03/2003,+55 14 95837 8841,2292569385619017,46706
776,Maria Sophia Pereira,827.935.104-32,09/07/1991,+55 25 91707-8892,2720422726436158,71384
777,Lucas Gomes,718.349.256-73,09/02/1986,+55 (61) 9 3460 6231,2294010498467554,81332
778,Leonardo da Mota,312.068.475-90,20/04/1985,+55 94 9 3778 9954,2255590655080925,93413
779,Heitor Fogaça,349.810.526-42,16/11/1977,+55 (075) 94654 9835,2706337189219735,7185
780,Agatha Cunha,405.869.732-65,04/12/1981,+55 (63) 9 9564-0755,2475046754548126,38187
781,Mariane Oliveira,683.941.270-96,11/07/1967,+55 34 97388 3556,5107591665970223,63389
782,João Miguel Vieira,905.268.473-10,26/08/2005,+55 89 96619 1451,2287638626264441,63644
783,Thiago Nunes,306.159.482-51,15/03/1968,+55 47 93192 8509,2250140235335137,3194
784,Dra. Maria Sophia Almeida,428.530.619-06,11/05/1969,+55 (085) 96614 1086,2284061740481861,15326
785,Leonardo Moreira,129.806.473-22,19/01/1959,+55 74 91198 9938,2296680027272515,56796
786,Caroline Jesus,235.978.460-92,03/07/1965,+55 (82) 9 4276-2430,5164357627839710,22918
787,Paulo Nascimento,209.451.873-60,27/11/1960,+55 (060) 97608-3235,5374508205888018,26677
788,Ana Clara Martins,096.521.748-58,01/04/1989,+55 (052) 95775-7259,2720587277830064,81505
789,Yago Costela,735.801.264-07,05/10/1974,+55 77 98300-8987,2291134341555622,21944
790,Heloísa Cunha,143.295.670-16,08/04/1960,+55 36 9 0979 9139,5380838683626370,62760
791,Lavínia Azevedo,126.758.943-46,28/03/1981,+55 (65) 9 4068 3318,2716220620491550,5292
792,Bruno Almeida,325.698.407-00,16/10/1965,+55 (86) 9 2316-9951,5525384998520574,40774
793,Vitor Hugo Costela,186.974.250-85,03/02/1980,+55 (25) 95146 7373,5252119032851232,26024
794,Gabriel Gomes,976.041.852-58,30/09/1984,+55 (34) 96204 7062,2460080931544648,83989
795,Dr. Isaac Sales,758.349.012-04,16/06/2000,+55 (09) 91576 5651,5250423455218040,80685
796,Olivia da Rocha,580.394.716-48,30/08/1979,+55 (22) 93213-3480,2711074192075019,58022
797,Maysa da Mata,387.549.210-23,01/10/1977,+55 (05) 9 5586-2944,5197452502000628,77034
798,Levi Aragão,702.351.496-16,15/12/1978,+55 (072) 94088-1362,2243255666260222,27473
799,Dra. Brenda Costa,381.542.706-17,27/02/2003,+55 68 9 1565 4189,2289484820977795,61240
800,João Gabriel Pereira,653.809.174-10,20/03/1993,+55 (93) 9 0828 6318,2276657459117818,17057
801,Sr. Luiz Henrique Fogaça,937.841.056-10,11/07/1984,+55 89 91504 2071,5403060295017020,5657
802,Alexia Ribeiro,598.402.361-05,04/05/1973,+55 (080) 93114 1365,2234973268312024,52617
803,Thales Duarte,124.736.859-91,19/12/1975,+55 (55) 9 6181-5441,2300651920415125,20917
804,Theo Barros,148.306.957-57,01/01/1962,+55 (93) 9 3536-1724,2351064127128129,49177
805,Cauê Silveira,493.825.617-73,03/07/1961,+55 (021) 97465 7161,5116333771746869,39522
806,Clarice da Conceição,943.125.780-79,26/06/1989,+55 (31) 90430 8494,2327110134149037,46454
807,Diogo Viana,801.243.795-32,17/12/1996,+55 (69) 9 2775-9677,2534379846433729,34801
808,Thales Almeida,905.428.736-56,01/01/1963,+55 55 9 5328 7383,5514360040687408,14992
809,Sra. Ana Beatriz Ferreira,087.163.549-66,20/12/1970,+55 30 90875-5592,2714671357928622,52124
810,Enzo Fernandes,498.235.671-82,21/04/1973,+55 98 9 0862 3568,2251709976417293,91294
811,Ana Luiza Aragão,032.174.569-80,03/03/1998,+55 (078) 98658 9069,2520968118905996,35652
812,Maria Rodrigues,267.305.419-70,19/09/1969,+55 (056) 91993 3020,2264443002620598,34597
813,Srta. Stephany Costela,405.391.276-80,30/10/1972,+55 (88) 9 4681 8223,5368247349663148,12567
814,Ana Laura Cardoso,938.276.450-00,04/10/1968,+55 70 98043 7566,5145437183556751,2856
815,Sra. Mirella Monteiro,026.834.795-65,18/04/1999,+55 (31) 90896 5505,5103940949181442,57781
816,Raquel Nascimento,571.426.089-94,24/02/1984,+55 (043) 96973 8718,2720087492750999,81546
817,Srta. Melissa Lopes,356.014.892-89,19/06/2000,+55 (81) 98282-7935,2620368205206557,81062
818,Mariana Castro,240.795.316-99,30/10/1974,+55 21 90707 6987,2665195457562775,70245
819,João Vitor Sales,239.570.846-10,25/05/1968,+55 (74) 98186-9563,5443287847898779,94721
820,Alícia Ramos,864.952.713-28,07/09/1979,+55 64 91080-0327,2711782138332803,10649
821,Yasmin Barbosa,530.847.129-05,25/07/1970,+55 (053) 94421-6477,5253275414261660,16840
822,Emanuel Carvalho,601.934.752-43,06/07/1997,+55 (093) 96654 9199,2283311292499097,7405
823,Stephany Correia,167.425.389-37,16/05/1965,+55 (11) 95710 5910,5356120020133406,2211
824,Breno Teixeira,548.673.019-57,30/04/1970,+55 (63) 92043 7973,5203544044204049,2500
825,Lívia Viana,761.839.204-87,27/11/1985,+55 (25) 92618-4738,5130697086359234,51151
826,Cauã Ferreira,758.921.406-01,26/02/1965,+55 71 99356-3095,2237609470427468,49776
827,Lavínia Silva,164.328.597-19,14/08/1996,+55 (29) 95551-9422,5527439975333256,43684
828,João Lucas Azevedo,934.201.675-80,09/03/1964,+55 78 9 3986-8840,2254937512539778,2720
829,Francisco Gonçalves,480.197.625-58,16/12/1974,+55 39 9 5128-2026,5389090760281536,27588
830,Dr. Luiz Felipe Costela,804.921.765-58,29/06/1986,+55 38 9 5938 8588,2238344835806391,20891
831,Eduarda Farias,329.041.586-42,13/11/1978,+55 76 92118-7024,2232826118721921,3551
832,Enzo Fernandes,814.056.723-07,18/06/1993,+55 (15) 94210-7936,2712785922947909,95647
